House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
15,Leeds Lane,Mary,Brown,11,Daughter,NA,Female,Student,None,NA
15,Leeds Lane,Maurice,Brown,9,Son,NA,Male,Student,None,NA
15,Leeds Lane,Iain,Brown,6,Son,NA,Male,Student,None,NA
1,Robertson Road,Abigail,Saunders,47,Head,Single,Female,International aid/development worker,None,None
1,Robertson Road,Lesley,Saunders,18,Daughter,Single,Female,Student,None,None
1,Robertson Road,Sandra,Saunders,18,Daughter,Single,Female,Student,None,None
1,Robertson Road,Frederick,Saunders,16,Son,NA,Male,Student,None,NA
1,Robertson Road,Conor,Saunders,12,Son,NA,Male,Student,None,NA
2,Robertson Road,Clare,Turner,36,Head,Single,Female,Multimedia programmer,None,Catholic
2,Robertson Road,Alan,Smith,38,Partner,Single,Male,"Engineer, materials",None,None
2,Robertson Road,Jasmine,Turner,16,Daughter,NA,Female,Student,None,NA
2,Robertson Road,Brandon,Turner,15,S on,NA,Male,Student,None,NA
2,Robertson Road,Robert,Clayton-Turner,11,Son,NA,Male,Student,None,NA
3,Robertson Road,Jean,Davis,56,Head,Married,Female,Communications engineer,None,Christian
3,Robertson Road,Barry,Davis,58,Husband,Married,Male,Animal technologist,None,Christian
3,Robertson Road,Martin,Davis,27,Son,Single,Male,Careers information officer,None,Christian
3,Robertson Road,Nicola,Davis,25,Daughter,Single,Female,Retail manager,None,Christian
3,Robertson Road,George,Davis,22,Son,Divorced,Male,University Student,None,Christian
3,Robertson Road,Bethan,Davis,21,Daughter,Single,Female,University Student,None,Christian
3,Robertson Road,Beth,Davis,14,Daughter,NA,Female,Student,None,NA
3,Robertson Road,Jacqueline,Davis,12,Daughter,NA,Female,Student,None,NA
3,Robertson Road,Robin,Davis,8,Son,NA,Male,Student,None,NA
4,Robertson Road,Frances,Hodgson,39,Head,Married,Female,Gaffer,None,Christian
4,Robertson Road,Stephen,Hodgson,42,Husband,Married,Male,"Development worker, community",None,Christian
4,Robertson Road,Marc,Hodgson,8,Son,NA,Male,Student,None,NA
4,Robertson Road,Charlene,Hodgson,6,Daughter,NA,Female,Student,None,NA
4,Robertson Road,Amy,Green-Hodgson,3,Daughter,NA,Female,Child,None,NA
1,Stanley Road,Sandra,Flynn,28,Head,Single,Female,Unemployed,None,None
1,Stanley Road,Amy,Flynn,0,Daughter,NA,Female,Child,None,NA
2,Stanley Road,Dominic,Shaw,70,Head,Married,Male,Retired Theme park manager,None,Christian
2,Stanley Road,Emily,Shaw,66,Wife,Married,Female,Educational psychologist,None,None
3,Stanley Road,Stacey,Harris,83,Head,Married,Female,"Retired Designer, fashion/clothing",None,None
3,Stanley Road,Benjamin,Harris,80,Husband,Married,Male,"Retired Engineer, energy",None,None
4,Stanley Road,Nathan,Smith,38,Head,Single,Male,Land/geomatics surveyor,None,None
5,Stanley Road,Louise,Jones,68,Head,Married,Female,Retired Ergonomist,None,Methodist
5,Stanley Road,Steven,Jones,68,Husband,Married,Male,"Retired Engineer, electronics",None,Methodist
6,Stanley Road,Kirsty,Tucker,48,Head,Single,Female,Unemployed,None,Christian
6,Stanley Road,Iain,Tucker,23,Son,Single,Male,Minerals surveyor,None,None
6,Stanley Road,Aaron,Tucker,21,Son,Single,Male,University Student,None,Christian
6,Stanley Road,Nigel,Tucker,21,Son,Single,Male,University Student,None,None
7,Stanley Road,Jayne,Young,77,Head,Widowed,Female,Retired Economist,None,Methodist
8,Stanley Road,Aimee,Whitehead,37,Head,Widowed,Female,Sports development officer,None,Catholic
9,Stanley Road,Lisa,Clark,59,Head,Single,Female,"Surveyor, land/geomatics",None,Christian
9,Stanley Road,Donna,Hall,46,None,Single,Female,Therapeutic radiographer,None,Catholic
10,Stanley Road,Harriet,Martin,36,Head,Single,Female,Musician,None,None
10,Stanley Road,Damien,Bates,53,None,Single,Male,Financial adviser,None,Christian
10,Stanley Road,Gerald,Bennett,51,None,Single,Male,Musician,None,Methodist
11,Stanley Road,Maureen,Lee,23,Head,Single,Female,Unemployed,None,None
12,Stanley Road,Leanne,Clayton,71,Head,Widowed,Female,"Retired Loss adjuster, chartered",None,None
13,Stanley Road,Susan,Yates,56,Head,Married,Female,Unemployed,None,None
13,Stanley Road,Paul,Yates,59,Husband,Married,Male,Tourist information centre manager,None,None
14,Stanley Road,Lindsey,Robinson,32,Head,Single,Female,Unemployed,None,Jewish
15,Stanley Road,Jasmine,Parry,39,Head,Divorced,Female,Unemployed,None,Christian
15,Stanley Road,Joanna,Parry,10,Daughter,NA,Female,Student,None,NA
16,Stanley Road,Charlotte,Williams,22,Head,Single,Female,Product designer,None,None
17,Stanley Road,Mandy,Lloyd,39,Head,Single,Female,Forensic scientist,None,None
18,Stanley Road,Gerard,Wood,29,Head,Single,Male,Chartered accountant,None,Christian
19,Stanley Road,Lewis,Little,46,Head,Widowed,Male,Magazine journalist,None,Christian
19,Stanley Road,Vanessa,Little,5,Step-Daughter,NA,Female,Student,None,NA
20,Stanley Road,Valerie,Wilson,29,Head,Single,Female,Recycling officer,None,None
21,Stanley Road,Georgia,Hutchinson,43,Head,Divorced,Female,Pathologist,None,Catholic
21,Stanley Road,Charlotte,Hutchinson,9,Daughter,NA,Female,Student,None,NA
22,Stanley Road,Damian,Baker,29,Head,Single,Male,"Therapist, horticultural",None,Muslim
23,Stanley Road,Kate,Russell,38,Head,Divorced,Female,Media buyer,None,Christian
23,Stanley Road,Guy,Russell,1,Son,NA,Male,Child,None,NA
24,Stanley Road,Clare,Wheeler,77,Head,Widowed,Female,Retired Medical technical officer,None,Christian
25,Stanley Road,Howard,Barker,20,Head,Single,Male,Chief Technology Officer,None,None
26,Stanley Road,Heather,Bennett,18,Head,Single,Female,Student,None,NA
27,Stanley Road,Ronald,Bishop,85,Head,Divorced,Male,Retired Data scientist,None,None
28,Stanley Road,Callum,Pearson,39,Head,Divorced,Male,Unemployed,None,Christian
29,Stanley Road,Annette,Whitehead,80,Head,Widowed,Female,"Retired Education officer, environmental",None,Christian
30,Stanley Road,Jasmine,Ellis,71,Head,Single,Female,Retired Ranger/warden,None,Christian
31,Stanley Road,Elaine,Brown,57,Head,Single,Female,Sport and exercise psychologist,None,None
31,Stanley Road,Mohamed,Hammond,3,Grandson,NA,Male,Child,None,NA
32,Stanley Road,Melissa,Turner,34,Head,Single,Female,Primary school teacher,None,Catholic
32,Stanley Road,Graham,Johnson,33,Partner,Single,Male,Physiotherapist,None,Catholic
33,Stanley Road,Emma,Reynolds,87,Head,Divorced,Female,Retired Academic librarian,None,Christian
34,Stanley Road,Danielle,Wall,83,Head,Widowed,Female,Retired Radio producer,None,Christian
35,Stanley Road,Ellie,Ward,34,Head,Married,Female,Financial planner,None,None
35,Stanley Road,Danny,Ward,38,Husband,Married,Male,Special effects artist,None,None
36,Stanley Road,Russell,Conway,81,Head,Widowed,Male,"Retired Development worker, international aid",None,Methodist
37,Stanley Road,Paul,Gardner,92,Head,Widowed,Male,Retired Special educational needs teacher,None,Christian
38,Stanley Road,Gareth,Ali,30,Head,Single,Male,Patent attorney,None,Catholic
39,Stanley Road,Owen,Wilkinson,64,Head,Single,Male,Software engineer,None,Christian
40,Stanley Road,Luke,Taylor,56,Head,Married,Male,Naval architect,None,None
40,Stanley Road,Denise,Taylor,47,Wife,Married,Female,Social worker,None,None
41,Stanley Road,Carol,Smith,25,Head,Single,Female,Unemployed,None,Muslim
42,Stanley Road,Sophie,Johnson,63,Head,Married,Female,Systems analyst,None,None
42,Stanley Road,Samuel,Johnson,65,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
43,Stanley Road,Jacqueline,Ward,49,Head,Divorced,Female,"Psychologist, sport and exercise",None,None
44,Stanley Road,Janet,Roberts,73,Head,Widowed,Female,Retired Energy manager,None,None
45,Stanley Road,Carly,Lewis,30,Head,Married,Female,"Psychologist, counselling",None,Muslim
45,Stanley Road,Luke,Lewis,34,Husband,Married,Male,"Secretary, company",None,None
46,Stanley Road,Duncan,Holloway-Jones,47,Head,Married,Male,Sports administrator,None,None
46,Stanley Road,Hazel,Holloway-Jones,48,Wife,Married,Female,Equality and diversity officer,None,None
46,Stanley Road,Anne,Holloway-Jones,14,Daughter,NA,Female,Student,None,NA
47,Stanley Road,Mohamed,Riley,49,Head,Divorced,Male,TEFL teacher,None,Christian
47,Stanley Road,Conor,Riley,23,Son,Divorced,Male,Garment/textile technologist,None,None
48,Stanley Road,Hollie,Newton,36,Head,Married,Female,Scientific laboratory technician,None,Christian
48,Stanley Road,Gerard,Newton,39,Husband,Married,Male,Broadcast journalist,None,None
48,Stanley Road,Hayley,Newton,0,Daughter,NA,Female,Child,None,NA
49,Stanley Road,Fiona,Jones,88,Head,Widowed,Female,Retired Catering manager,None,None
50,Stanley Road,Fiona,Harding,19,Head,Single,Female,University Student,None,Christian
51,Stanley Road,Rosie,Adams,46,Head,Single,Female,"Social research officer, government",None,None
51,Stanley Road,Benjamin,Burton,48,Partner,Single,Male,Ambulance person,None,None
52,Stanley Road,Luke,Carr,54,Head,Single,Male,Water engineer,None,Jewish
53,Stanley Road,Lynn,Jones,89,Head,Married,Female,"Retired Scientist, forensic",None,Methodist
53,Stanley Road,Joel,Jones,92,Husband,Married,Male,"Retired Nurse, adult",None,None
54,Stanley Road,Lynda,Hall,22,Head,Single,Female,University Student,None,None
54,Stanley Road,Adam,Wood,21,None,Single,Male,University Student,None,Catholic
54,Stanley Road,Russell,Taylor,22,None,Single,Male,University Student,None,Catholic
55,Stanley Road,Peter,Burrows,43,Head,Divorced,Male,Estate manager/land agent,None,Catholic
55,Stanley Road,Frederick,Burrows,6,Son,NA,Male,Student,None,NA
56,Stanley Road,Gail,Iqbal,71,Head,Widowed,Female,"Retired Psychologist, counselling",None,Christian
57,Stanley Road,Ian,Taylor,18,Head,Single,Male,Student,None,NA
58,Stanley Road,Marilyn,Cook,35,Head,Married,Female,Pensions consultant,None,Catholic
58,Stanley Road,Clifford,Cook,38,Husband,Married,Male,Theatre stage manager,None,None
58,Stanley Road,Antony,Cook,5,Son,NA,Male,Student,None,NA
59,Stanley Road,Carly,Hill,23,Head,Divorced,Female,Advertising account executive,None,Methodist
60,Stanley Road,Michelle,Lawrence,78,Head,Divorced,Female,Retired Site engineer,None,Christian
61,Stanley Road,Frank,Baker,82,Head,Divorced,Male,Unemployed,None,Christian
62,Stanley Road,Zoe,Lee,81,Head,Widowed,Female,Retired Fashion designer,None,Catholic
63,Stanley Road,Stuart,Matthews,74,Head,Married,Male,Retired Advice worker,None,None
63,Stanley Road,Angela,Matthews,69,Wife,Married,Female,"Retired Surveyor, rural practice",None,None
64,Stanley Road,Stewart,Jones,22,Head,Married,Male, ,None,None
64,Stanley Road,Linda,Jones,23,Wife,Married,Female,"Therapist, occupational",None,None
65,Stanley Road,Susan,Brooks,21,Head,Married,Female,University Student,None,None
65,Stanley Road,Adam,Brooks,24,Husband,Married,Male,Secondary school teacher,None,None
66,Stanley Road,Marian,Ali,42,Head,Divorced,Female,Unemployed,None,Christian
66,Stanley Road,Natalie,Ali,14,Daughter,NA,Female,Student,None,NA
67,Stanley Road,Gemma,Richards,76,Head,Single,Female,Retired Dancer,None,Christian
68,Stanley Road,Geraldine,Smith,48,Head,Married,Female,Minerals surveyor,None,Catholic
68,Stanley Road,Nigel,Smith,45,Husband,Married,Male,"Civil engineer, consulting",None,Catholic
69,Stanley Road,Rosie,Sullivan,69,Head,Divorced,Female,Retired Child psychotherapist,None,None
70,Stanley Road,Dylan,Thompson,33,Head,Married,Male,Ergonomist,None,Muslim
70,Stanley Road,Annette,Thompson,31,Wife,Married,Female,Archaeologist,None,None
71,Stanley Road,Howard,Barton,28,Head,Single,Male,"Engineer, civil (consulting)",None,None
72,Stanley Road,Joel,Ward,71,Head,Married,Male,Retired Broadcast engineer,None,Methodist
72,Stanley Road,Elizabeth,Ward,73,Wife,Married,Female,Retired Telecommunications researcher,None,None
73,Stanley Road,Michelle,Harris,59,Head,Married,Female,Mechanical engineer,None,None
73,Stanley Road,Roger,Harris,62,Husband,Married,Male,Holiday representative,None,None
74,Stanley Road,Jane,Moore,24,Head,Married,Female,Manufacturing systems engineer,None,Catholic
74,Stanley Road,Justin,Moore,25,Husband,Married,Male,Physiotherapist,None,Catholic
75,Stanley Road,Claire,Harris,69,Head,Widowed,Female,Retired Chartered public finance accountant,None,Christian
76,Stanley Road,Debra,Wood,45,Head,Married,Female,Press sub,None,Methodist
76,Stanley Road,Damien,Wood,46,Husband,Married,Male,"Exhibitions officer, museum/gallery",None,Methodist
76,Stanley Road,Marcus,Wood,17,Son,NA,Male,Student,None,NA
77,Stanley Road,Brenda,Godfrey,35,Head,Single,Female,Tourist information centre manager,None,Christian
1,Sunderland Bypass,Rachael,Williams,60,Head,Single,Female,Prison officer,None,None
1,Sunderland Bypass,Billy,Akhtar,63,Partner,Single,Male,Music tutor,None,None
2,Sunderland Bypass,Neil,Long,20,Head,Single,Male,University Student,None,Christian
2,Sunderland Bypass,Kimberley,Steele,19,Partner,Single,Female,University Student,None,Christian
3,Sunderland Bypass,Tracy,Foster,72,Head,Widowed,Female,"Retired Teacher, secondary school",None,None
4,Sunderland Bypass,Pauline,Phillips,30,Head,Single,Female,Commissioning editor,None,None
4,Sunderland Bypass,Dean,Smith,36,Partner,Single,Male,Unemployed,None,None
5,Sunderland Bypass,Valerie,Gray,47,Head,Divorced,Female,"Development worker, community",None,Catholic
6,Sunderland Bypass,Zoe,Martin,59,Head,Married,Female,Information officer,None,Christian
6,Sunderland Bypass,Patrick,Martin,60,Husband,Married,Male,Occupational psychologist,None,Christian
6,Sunderland Bypass,Leonard,Martin,35,Son,Single,Male,Press sub,None,Christian
7,Sunderland Bypass,Francesca,Green,25,Head,Divorced,Female,Speech and language therapist,None,Catholic
8,Sunderland Bypass,Kathleen,Dobson,49,Head,Single,Female,Estate manager/land agent,None,Catholic
8,Sunderland Bypass,Philip,Dobson,24,Son,Divorced,Male,Museum education officer,None,Catholic
9,Sunderland Bypass,Marcus,Ellis,21,Head,Married,Male,University Student,None,Catholic
9,Sunderland Bypass,Margaret,Ellis,21,Wife,Married,Female,University Student,None,None
10,Sunderland Bypass,Amelia,Turner,73,Head,Married,Female,Retired Solicitor,None,Christian
10,Sunderland Bypass,Craig,Turner,78,Husband,Married,Male,Retired Water quality scientist,None,Christian
11,Sunderland Bypass,Josephine,Davies,37,Head,Single,Female,"Accountant, chartered certified",None,Christian
11,Sunderland Bypass,James,Davies,12,Son,NA,Male,Student,Physical Disability,NA
12,Sunderland Bypass,Denis,Bradshaw,71,Head,Widowed,Male,Retired Geophysicist/field seismologist,None,Christian
13,Sunderland Bypass,Susan,Mitchell,56,Head,Single,Female,Chartered management accountant,None,Christian
13,Sunderland Bypass,Sylvia,Ball,52,None,Single,Female,"Scientist, physiological",None,Christian
14,Sunderland Bypass,Stacey,Smith,67,Head,Married,Female,"Engineer, energy",None,Methodist
14,Sunderland Bypass,Leonard,Smith,69,Husband,Married,Male,Retired Consulting civil engineer,None,Methodist
15,Sunderland Bypass,Jason,Smart,64,Head,Single,Male,Unemployed,None,Christian
15,Sunderland Bypass,Bethany,Atkinson,64,Partner,Single,Female,Community education officer,None,Christian
16,Sunderland Bypass,Michael,French,43,Head,Divorced,Male,Unemployed,None,Catholic
17,Sunderland Bypass,Danny,Smith,67,Head,Divorced,Male,Actuary,None,Christian
17,Sunderland Bypass,Alice,Warren,9,Granddaughter,NA,Female,Student,None,NA
18,Sunderland Bypass,Danny,Hawkins,57,Head,Divorced,Male,Plant breeder/geneticist,None,Christian
19,Sunderland Bypass,Tracy,Cameron,51,Head,Single,Female,"Designer, multimedia",None,None
19,Sunderland Bypass,Mohammed,Horton,51,Partner,Single,Male,Media planner,None,None
19,Sunderland Bypass,Terence,Cameron,13,Son,NA,Male,Student,None,NA
20,Sunderland Bypass,Sophie,Foster,57,Head,Single,Female,Geographical information systems officer,None,Catholic
21,Sunderland Bypass,Sandra,Evans,27,Head,Divorced,Female,Risk manager,None,Catholic
21,Sunderland Bypass,Malcolm,Patel,39,Lodger,Divorced,Male,Veterinary surgeon,None,Christian
1,Walsh Avenue,Mark,Evans,29,Head,Single,Male,Broadcast presenter,None,Catholic
2,Walsh Avenue,Lydia,Armstrong,29,Head,Single,Female,"Lecturer, higher education",None,Christian
3,Walsh Avenue,Jasmine,Holt,34,Head,Single,Female,Unemployed,None,Christian
3,Walsh Avenue,Beverley,Holt,4,Daughter,NA,Female,Child,None,NA
3,Walsh Avenue,Joyce,Holt,1,Daughter,NA,Female,Child,None,NA
4,Walsh Avenue,Roy,Mitchell,69,Head,Divorced,Male,Retired Retail manager,None,None
5,Walsh Avenue,Amy,Edwards,54,Head,Single,Female,"Scientist, research (maths)",None,Christian
5,Walsh Avenue,Patrick,Manning,57,Partner,Single,Male,Dispensing optician,None,Christian
5,Walsh Avenue,Benjamin,Edwards,13,Son,NA,Male,Student,None,NA
6,Walsh Avenue,Brandon,Phillips,60,Head, ,Male,Geophysicist/field seismologist,None,Christian
7,Walsh Avenue,Josephine,Shah,20,Head,Married,Female,University Student,None,Muslim
7,Walsh Avenue,Dominic,Shah,19,Husband,Married,Male,Environmental education officer,None,None
8,Walsh Avenue,Callum,Hughes,28,Head,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Catholic
9,Walsh Avenue,Jacqueline,Cook,51,Head,Married,Female,Insurance claims handler,None,Christian
9,Walsh Avenue,Tony,Cook,57,Husband,Married,Male,IT trainer,None,Christian
9,Walsh Avenue,Melissa,Cook,16,Daughter,NA,Female,Student,None,NA
9,Walsh Avenue,Allan,Cook,14,Son,NA,Male,Student,None,NA
10,Walsh Avenue,Marian,Hilton,72,Head,Widowed,Female,Retired Health service manager,None,Christian
11,Walsh Avenue,Carolyn,Smith,39,Head,Single,Female,Chartered legal executive (England and Wales),None,Methodist
1,Milldraw Drive,Jack,Shaw,65,Head,Married,Male,Banker,None,Christian
1,Milldraw Drive,Paula,Shaw,62,Wife,Married,Female,Sports development officer,None,Christian
2,Milldraw Drive,Sarah,Scott,45,Head,Divorced,Female,Contracting civil engineer,None,Catholic
2,Milldraw Drive,Lynda,Scott,16,Daughter,NA,Female,Student,None,NA
3,Milldraw Drive,Eric,Harrison,65,Head,Divorced,Male,"Teacher, music",None,Christian
4,Milldraw Drive,Toby,Palmer,88,Head,Married,Male,Retired Field trials officer,None,Christian
4,Milldraw Drive,Carolyn,Palmer,89,Wife,Married,Female,Retired Biomedical engineer,None,Christian
5,Milldraw Drive,Janice,Smith,62,Head,Divorced,Female,Communications engineer,None,Christian
5,Milldraw Drive,Robert,Smith,12,Son,NA,Male,Student,None,NA
6,Milldraw Drive,Judith,Robinson,25,Head,Married,Female,"Therapist, horticultural",None,None
6,Milldraw Drive,Gerard,Robinson,32,Husband,Married,Male,"Lecturer, higher education",None,None
7,Milldraw Drive,Jean,Hughes,53,Head,Divorced,Female,Equality and diversity officer,None,None
7,Milldraw Drive,Stuart,Hughes,34,Son,Single,Male,Legal secretary,None,None
8,Milldraw Drive,Nicholas,Hussain-Yates,37,Head,Single,Male,Restaurant manager,None,Catholic
8,Milldraw Drive,Lee,Tyler,64,Lodger,Single,Male,"Therapist, horticultural",None,Christian
9,Milldraw Drive,Clifford,Bradley,37,Head,Single,Male,"Engineer, maintenance (IT)",None,None
9,Milldraw Drive,Marilyn,Bailey,37,Partner,Single,Female,Special educational needs teacher,None,None
10,Milldraw Drive,Eric,West,47,Head,Single,Male,Prison officer,None,None
11,Milldraw Drive,Jennifer,Brady,67,Head,Widowed,Female,"Designer, television/film set",None,Sith
12,Milldraw Drive,Ann,Baldwin,36,Head,Married,Female,"Engineer, electronics",None,Methodist
12,Milldraw Drive,Damian,Baldwin,40,Husband,Married,Male,"Designer, furniture",None,None
12,Milldraw Drive,Katie,Baldwin,7,Daughter,NA,Female,Student,None,NA
13,Milldraw Drive,Justin,McDonald,57,Head,Married,Male,Unemployed,None,Christian
13,Milldraw Drive,Maureen,McDonald,55,Wife,Married,Female,Location manager,None,Christian
14,Milldraw Drive,Neil,Cook,27,Head,Divorced,Male,Chief Financial Officer,None,Methodist
15,Milldraw Drive,Diana,Cooke,63,Head,Married,Female,Hydrologist,None,Christian
15,Milldraw Drive,Gordon,Cooke,62,Husband,Married,Male,Medical sales representative,None,Christian
15,Milldraw Drive,Simon,Cooke,41,Son,Single,Male,"Accountant, chartered",None,Christian
15,Milldraw Drive,Dale,Cooke,37,Son,Divorced,Male,"Conservator, furniture",None,Christian
16,Milldraw Drive,Jacob,Holmes,51,Head,Married,Male,Drilling engineer,None,Christian
16,Milldraw Drive,Patricia,Holmes,49,Wife,Married,Female,Comptroller,None,Christian
17,Milldraw Drive,Tracey,Brookes,80,Head,Married,Female,"Retired Psychotherapist, dance movement",None,Methodist
17,Milldraw Drive,Julian,Brookes,83,Husband,Married,Male,Retired Proofreader,None,Methodist
18,Milldraw Drive,Deborah,Oliver,45,Head,Single,Female,"Conservator, furniture",None,None
18,Milldraw Drive,Martyn,Wilson,46,Partner,Single,Male,"Engineer, aeronautical",None,None
19,Milldraw Drive,Frances,Harris,30,Head,Married,Female,IT consultant,None,None
19,Milldraw Drive,Alex,Harris,29,Husband,Married,Male,Brewing technologist,None,None
20,Milldraw Drive,Jasmine,Ashton-James,50,Head,Married,Female,English as a second language teacher,None,Methodist
20,Milldraw Drive,Darren,Ashton-James,56,Husband,Married,Male,Fast food restaurant manager,None,Methodist
20,Milldraw Drive,Leah,Ashton-James,21,Daughter,Single,Female,University Student,None,Methodist
21,Milldraw Drive,Hollie,Wall,44,Head,Widowed,Female,"Engineer, civil (consulting)",None,Catholic
21,Milldraw Drive,Nicole,Wall,16,Neice,NA,Female,Student,None,NA
22,Milldraw Drive,Iain,Williams,24,Head,Married,Male,"Administrator, charities/voluntary organisations",None,Methodist
22,Milldraw Drive,Paige,Williams,19,Wife,Married,Female,University Student,None,Methodist
23,Milldraw Drive,Leah,Chapman,50,Head,Married,Female,"Administrator, education",None,Christian
23,Milldraw Drive,Peter,Chapman,54,Husband,Married,Male,"Sales professional, IT",None,Christian
23,Milldraw Drive,Geraldine,Chapman,16,Daughter,NA,Female,Student,None,NA
24,Milldraw Drive,Sam,Thomas,64,Head,Divorced,Male,Broadcast presenter,None,Methodist
24,Milldraw Drive,Molly,Ward,10,Granddaughter,NA,Female,Student,None,NA
25,Milldraw Drive,Christine,King,75,Head,Married,Female,Retired Food technologist,None,Christian
25,Milldraw Drive,Martyn,King,77,Husband,Married,Male,Retired Environmental health practitioner,None,None
26,Milldraw Drive,Emily,Fisher,35,Head,Married,Female,Medical physicist,None,Catholic
26,Milldraw Drive,Reece,Fisher,39,Husband,Married,Male,"Engineer, energy",None,None
27,Milldraw Drive,Maria,Barnes,24,Head,Married,Female,Merchant navy officer,None,Methodist
27,Milldraw Drive,Dennis,Barnes,27,Husband,Married,Male,Special educational needs teacher,None,Methodist
28,Milldraw Drive,Sam,Payne,103,Head,Married,Male,Retired Art therapist,None,Christian
28,Milldraw Drive,Georgina,Payne,101,Wife,Married,Female,Retired Primary school teacher,None,Christian
29,Milldraw Drive,Liam,Jones,71,Head,Divorced,Male,Retired Minerals surveyor,None,Christian
29,Milldraw Drive,Liam,Jones,46,Son,Divorced,Male,Barista,None,Christian
30,Milldraw Drive,Hannah,Lucas,58,Head,Married,Female,Charity officer,None,Christian
30,Milldraw Drive,Stewart,Lucas,64,Husband,Married,Male,"Production designer, theatre/television/film",None,Christian
30,Milldraw Drive,Reece,Lucas,29,Son,Divorced,Male,Hydrologist,None,None
30,Milldraw Drive,Donald,Lucas,25,Son,Single,Male,Unemployed,None,Christian
30,Milldraw Drive,Antony,Lucas,2,Son,NA,Male,Child,None,NA
